,tbl_no,indicator,survey_id,gender,group_all_ages,group_under_01,group_under_05,group_under_10,group_under_16,group_05_24,group_15_24,group_15_29,group_15_49,group_15_64,group_18_60,group_18_and_up,group_60_and_up,group_65_and_up,geog_type,area_name,area_type,district_code,district_name,province_name
48,tbl_05,Gender_Age_Group_Population,Census2017,Male,6335,162,1010,2038,3092,3100,1163,1599,2758,3197,2673,2955,305,191,geog_1,Barkhan Tehsil,Urban,129,Barkhan,Balochistan
49,tbl_05,Gender_Age_Group_Population,Census2017,Male,15030,382,2404,4894,7089,7205,2852,4038,6798,7891,6754,7354,660,382,geog_1,Sarai Naurang Tehsil,Urban,2,Lakki Marwat,Khyber Paktunkhwa
50,tbl_05,Gender_Age_Group_Population,Census2017,Male,49459,1637,8775,17820,26133,24553,8349,11537,19545,22479,18987,21659,2858,2001,geog_1,Judba Tehsil,Rural,9,Tor Ghar,Khyber Paktunkhwa
51,tbl_05,Gender_Age_Group_Population,Census2017,Male,59983,1523,9173,18208,27235,28656,11973,16991,27654,31630,26479,29945,3705,2497,geog_1,Fr Kohat,Rural,35,Fr Kohat,Fata
52,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Mastuj Sub-Division,Urban,20,Chitral,Khyber Paktunkhwa
53,tbl_05,Gender_Age_Group_Population,Census2017,Male,214067,4592,23793,47562,77034,90486,42537,60460,111652,,115360,127819,13670,8498,geog_1,Sahiwal Tehsil,Urban,61,Sahiwal,Punjab
54,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Ghazi Tehsil,Urban,7,Haripur,Khyber Paktunkhwa
55,tbl_05,Gender_Age_Group_Population,Census2017,Male,200710,4894,25826,53526,82055,89525,37582,51129,93182,111790,95106,110061,16208,11151,geog_1,Hafizabad Tehsil,Rural,49,Hafizabad,Punjab
56,tbl_05,Gender_Age_Group_Population,Census2017,Male,35356,1162,7026,14095,19574,17678,5854,8143,13279,15475,13071,14581,1670,1031,geog_1,Fr D.I.Khan,Rural,34,Fr D.I.Khan,Fata
57,tbl_05,Gender_Age_Group_Population,Census2017,Male,180597,4535,24120,49656,74648,79119,32334,44754,83121,99674,85299,98804,14457,10018,geog_1,Pindi Bhattian Tehsil,Rural,49,Hafizabad,Punjab
58,tbl_05,Gender_Age_Group_Population,Census2017,Male,547112,12459,67639,138428,218805,239939,103134,144023,262722,,270018,305823,38574,25987,geog_1,Sahiwal Tehsil,Rural,61,Sahiwal,Punjab
59,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Fr Bannu,Urban,33,Fr Bannu,Fata
60,tbl_05,Gender_Age_Group_Population,Census2017,Male,83576,2726,15936,32059,43694,38890,12585,18225,33338,38613,33580,37389,4160,2722,geog_1,Barkhan Tehsil,Rural,129,Barkhan,Balochistan
61,tbl_05,Gender_Age_Group_Population,Census2017,Male,516723,11616,63212,125926,189515,217164,100426,144742,270111,317309,276673,306542,32377,19464,geog_1,Islamabad Tehsil,Rural,135,Islamabad,Islamabad Capital Territory
62,tbl_05,Gender_Age_Group_Population,Census2017,Male,132881,3188,16335,33255,51770,59238,26611,36715,66206,78600,67488,75118,8481,5319,geog_1,Hafizabad Tehsil,Urban,49,Hafizabad,Punjab
63,tbl_05,Gender_Age_Group_Population,Census2017,Male,535605,10229,58038,117308,183048,226794,112154,159787,289259,342415,299977,330620,33328,20512,geog_1,Islamabad Tehsil,Urban,135,Islamabad,Islamabad Capital Territory
64,tbl_05,Gender_Age_Group_Population,Census2017,Male,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Judba Tehsil,Urban,9,Tor Ghar,Khyber Paktunkhwa
65,tbl_05,Gender_Age_Group_Population,Census2017,Male,31676,935,4901,9846,14998,15933,6613,8828,14211,16262,13401,15135,1827,1193,geog_1,Fr Peshawar,Rural,37,Fr Peshawar,Fata
66,tbl_05,Gender_Age_Group_Population,Census2017,Male,20966,570,2865,5525,8399,9194,4090,5685,10110,12063,10273,11657,1530,934,geog_1,Lachi Tehsil,Urban,13,Kohat,Khyber Paktunkhwa
67,tbl_05,Gender_Age_Group_Population,Census2017,Male,117356,3381,16920,32772,49740,53991,24042,32986,54609,64403,54128,62507,8943,6084,geog_1,Chitral Sub-Division,Rural,20,Chitral,Khyber Paktunkhwa
68,tbl_05,Gender_Age_Group_Population,Census2017,Male,467889,10295,57684,117298,184489,203560,88208,122392,222996,,230914,263752,35445,23333,geog_1,Chichawatni Tehsil,Rural,61,Sahiwal,Punjab
69,tbl_05,Gender_Age_Group_Population,Census2017,Male,24281,612,3698,7399,11160,11836,4933,6990,11606,13073,11090,11975,948,607,geog_1,Nushki Tehsil,Urban,121,Nushki,Balochistan
70,tbl_05,Gender_Age_Group_Population,Census2017,Male,89724,2235,11897,23604,35404,38883,17257,24250,44669,52764,45414,50398,5347,3437,geog_1,Pakpattan Tehsil,Urban,63,Pakpattan,Punjab
71,tbl_05,Gender_Age_Group_Population,Census2017,Male,173414,5091,28075,56207,84209,84488,32862,44490,74445,87230,72287,81424,9916,6483,geog_1,Swat Rani Zai Sub-Division,Rural,25,Malakand,Khyber Paktunkhwa
72,tbl_05,Gender_Age_Group_Population,Census2017,Male,70480,1699,9318,18878,28706,31701,13760,19091,34381,40474,34872,38775,4244,2747,geog_1,Pindi Bhattian Tehsil,Urban,49,Hafizabad,Punjab
73,tbl_05,Gender_Age_Group_Population,Census2017,Male,84390,4219,21132,39705,55652,45500,13206,17448,25997,29087,22466,24962,2637,1877,geog_1,Sherani Sub-Division,Rural,133,Sherani,Balochistan
74,tbl_05,Gender_Age_Group_Population,Census2017,Male,261879,7842,47385,91590,131471,126274,48459,65798,107014,127021,104357,118520,15483,9658,geog_1,Lakki Marwat Tehsil,Rural,2,Lakki Marwat,Khyber Paktunkhwa
75,tbl_05,Gender_Age_Group_Population,Census2017,Male,175264,5117,31230,63746,91667,86540,29915,42109,69663,81835,68392,76593,9003,5574,geog_1,Tank Tehsil,Rural,4,Tank,Khyber Paktunkhwa
76,tbl_05,Gender_Age_Group_Population,Census2017,Male,81993,2389,10973,20970,33158,37125,17137,22965,37262,45674,37313,45055,8120,5358,geog_1,Mastuj Sub-Division,Rural,20,Chitral,Khyber Paktunkhwa
77,tbl_05,Gender_Age_Group_Population,Census2017,Male,36600,1304,6340,13136,19053,17816,5870,8228,14223,16541,13906,16245,2455,1773,geog_1,Khander Tehsil,Rural,9,Tor Ghar,Khyber Paktunkhwa
78,tbl_05,Gender_Age_Group_Population,Census2017,Male,30735,807,4220,8592,13045,14520,6464,8988,14752,17360,14478,16150,1817,1099,geog_1,Lakki Marwat Tehsil,Urban,2,Lakki Marwat,Khyber Paktunkhwa
79,tbl_05,Gender_Age_Group_Population,Census2017,Male,13685,438,2462,5029,7465,7145,2484,3405,5368,6219,5105,5609,569,343,geog_1,Fr Lakki Marwat,Rural,36,Fr Lakki Marwat,Fata
80,tbl_05,Gender_Age_Group_Population,Census2017,Male,50384,1473,7883,15074,22477,23541,10106,13649,22493,26724,22314,25532,3479,2342,geog_1,Lachi Tehsil,Rural,13,Kohat,Khyber Paktunkhwa
81,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,82,0,48536,97262,1,14,14,22,55,,68,79,12,8,geog_1,Sahiwal Tehsil,Rural,61,Sahiwal,Punjab
82,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Lachi Tehsil,Urban,13,Kohat,Khyber Paktunkhwa
83,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Mastuj Sub-Division,Urban,20,Chitral,Khyber Paktunkhwa
84,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,12,0,0,0,2,7,7,8,10,12,8,8,0,0,geog_1,Sam Rani Zai Sub-Division,Rural,25,Malakand,Khyber Paktunkhwa
85,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,19,0,0,0,2,8,8,13,16,18,15,16,1,1,geog_1,Hangu Tehsil,Rural,11,Hangu,Khyber Paktunkhwa
86,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,412,0,0,0,10,157,157,236,363,389,351,379,31,23,geog_1,Peshawar Tehsil,Urban,18,Peshawar,Khyber Paktunkhwa
87,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,4,0,0,0,0,2,2,3,4,4,4,4,0,0,geog_1,Tall Tehsil,Urban,11,Hangu,Khyber Paktunkhwa
88,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,11,0,0,0,0,1,1,1,6,7,7,11,5,4,geog_1,Chitral Sub-Division,Rural,20,Chitral,Khyber Paktunkhwa
89,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,30,0,0,0,0,9,9,19,28,29,29,30,2,1,geog_1,Haripur Tehsil,Urban,7,Haripur,Khyber Paktunkhwa
90,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,124,0,0,0,4,27,27,42,105,116,105,113,9,8,geog_1,Islamabad Tehsil,Rural,135,Islamabad,Islamabad Capital Territory
91,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Judba Tehsil,Urban,9,Tor Ghar,Khyber Paktunkhwa
92,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,51,0,0,0,0,10,10,22,45,50,47,48,3,1,geog_1,Arif Wala Tehsil,Urban,63,Pakpattan,Punjab
93,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,10,0,0,0,1,3,3,4,5,9,7,9,3,1,geog_1,Judba Tehsil,Rural,9,Tor Ghar,Khyber Paktunkhwa
94,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Fr Bannu,Rural,33,Fr Bannu,Fata
95,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Sarai Naurang Tehsil,Urban,2,Lakki Marwat,Khyber Paktunkhwa
96,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,28,0,0,0,0,3,3,9,23,27,26,27,1,1,geog_1,Pindi Bhattian Tehsil,Urban,49,Hafizabad,Punjab
97,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,14,0,0,0,0,5,5,5,10,13,12,14,2,1,geog_1,Sinjawi Sub-Tehsil,Rural,128,Ziarat,Balochistan
98,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,10,0,0,0,0,4,4,6,8,9,8,9,2,1,geog_1,Tall Tehsil,Rural,11,Hangu,Khyber Paktunkhwa
99,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,1,0,0,0,0,1,1,1,1,1,1,1,0,0,geog_1,Sarai Naurang Tehsil,Rural,2,Lakki Marwat,Khyber Paktunkhwa
100,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,4,0,0,0,1,1,1,1,3,4,3,3,0,0,geog_1,Fr Peshawar,Rural,37,Fr Peshawar,Fata
101,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,6,0,0,0,0,0,0,1,2,2,2,6,4,4,geog_1,Khander Tehsil,Rural,9,Tor Ghar,Khyber Paktunkhwa
102,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Sinjawi Sub-Tehsil,Urban,128,Ziarat,Balochistan
103,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,5,0,0,0,0,0,0,2,5,5,5,5,0,0,geog_1,Fr Kohat,Rural,35,Fr Kohat,Fata
104,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Khander Tehsil,Urban,9,Tor Ghar,Khyber Paktunkhwa
105,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Ziarat Tehsil,Urban,128,Ziarat,Balochistan
106,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,3,0,0,0,0,0,0,0,3,3,3,3,0,0,geog_1,Lakki Marwat Tehsil,Rural,2,Lakki Marwat,Khyber Paktunkhwa
107,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,47,0,0,0,0,8,8,16,36,,42,46,7,4,geog_1,Sahiwal Tehsil,Urban,61,Sahiwal,Punjab
108,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,29,0,0,0,1,12,12,15,24,26,22,25,3,3,geog_1,Hafizabad Tehsil,Urban,49,Hafizabad,Punjab
109,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,6,0,0,0,0,2,2,3,3,5,5,6,2,1,geog_1,Lachi Tehsil,Rural,13,Kohat,Khyber Paktunkhwa
110,tbl_05,Gender_Age_Group_Population,Census2017,Transgender,104,0,11038,22487,1,36,36,56,86,,90,100,11,8,geog_1,Chichawatni Tehsil,Rural,61,Sahiwal,Punjab
111,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,5863,150,1011,1939,2839,2630,922,1374,2524,2936,2486,2793,333,208,geog_1,Barkhan Tehsil,Urban,129,Barkhan,Balochistan
112,tbl_05,functional_limitations_by_province_and_district,PSLM_2019_20,Female,111181,3156,16201,31177,46436,51196,23448,32600,53984,62374,52630,59640,7592,4858,geog_1,Chitral Sub-Division,Rural,20,Chitral,Khyber Paktunkhwa
113,tbl_05,Gender_Age_Group_Population,Census2017,Female,14949,446,2487,4703,6913,7129,3078,4398,7092,8054,6795,7353,617,357,geog_1,Sarai Naurang Tehsil,Urban,2,Lakki Marwat,Khyber Paktunkhwa
114,tbl_05,Gender_Age_Group_Population,Census2017,Female,25063,595,3597,7055,10648,11569,5152,7384,12359,14240,12065,13285,1340,809,geog_1,Hangu Tehsil,Urban,11,Hangu,Khyber Paktunkhwa
115,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Fr Lakki Marwat,Urban,36,Fr Lakki Marwat,Fata
116,tbl_05,Gender_Age_Group_Population,Census2017,Female,944401,23928,132633,262596,396852,445077,202767,286028,480236,544527,466558,503891,41115,24931,geog_1,Peshawar Tehsil,Urban,18,Peshawar,Khyber Paktunkhwa
117,tbl_05,Gender_Age_Group_Population,Census2017,Female,22226,516,3147,6488,9645,10373,4424,6419,10863,12402,10528,11569,1131,728,geog_1,Tank Tehsil,Urban,4,Tank,Khyber Paktunkhwa
118,tbl_05,Gender_Age_Group_Population,Census2017,Female,107367,2420,13843,27545,41905,47542,21883,31629,55862,64079,55339,60682,5860,3786,geog_1,Kohat Tehsil,Urban,13,Kohat,Khyber Paktunkhwa
119,tbl_05,Gender_Age_Group_Population,Census2017,Female,12709,393,2341,4508,6295,6004,2280,3284,5487,6327,5405,5890,550,317,geog_1,Fr Lakki Marwat,Rural,36,Fr Lakki Marwat,Fata
120,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Judba Tehsil,Urban,9,Tor Ghar,Khyber Paktunkhwa
121,tbl_05,Gender_Age_Group_Population,Census2017,Female,365885,9873,51183,102299,148801,156219,65518,95358,177123,207649,180924,203832,24074,16352,geog_1,Arif Wala Tehsil,Rural,63,Pakpattan,Punjab
122,tbl_05,Gender_Age_Group_Population,Census2017,Female,257719,7211,44736,83675,119221,118232,49447,70565,117032,135498,114319,126882,13865,8700,geog_1,Lakki Marwat Tehsil,Rural,2,Lakki Marwat,Khyber Paktunkhwa
123,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Ghazi Tehsil,Urban,7,Haripur,Khyber Paktunkhwa
124,tbl_05,Gender_Age_Group_Population,Census2017,Female,206837,4447,0,0,73179,87137,41913,61133,111498,,113843,124989,12159,7589,geog_1,Sahiwal Tehsil,Urban,61,Sahiwal,Punjab
125,tbl_05,Gender_Age_Group_Population,Census2017,Female,86927,2058,11207,22154,33045,37513,17328,24890,45074,52159,45341,50278,5233,3376,geog_1,Pakpattan Tehsil,Urban,63,Pakpattan,Punjab
126,tbl_05,Gender_Age_Group_Population,Census2017,Female,151491,3904,21565,44317,66280,71881,30705,44036,73881,84147,71807,78506,7447,4603,geog_1,Sam Rani Zai Sub-Division,Rural,25,Malakand,Khyber Paktunkhwa
127,tbl_05,Gender_Age_Group_Population,Census2017,Female,130957,2909,15422,31352,49145,58326,27455,38995,69764,80125,69373,75876,7150,4539,geog_1,Hafizabad Tehsil,Urban,49,Hafizabad,Punjab
128,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Fr Peshawar,Urban,37,Fr Peshawar,Fata
129,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Khander Tehsil,Urban,9,Tor Ghar,Khyber Paktunkhwa
130,tbl_05,Gender_Age_Group_Population,Census2017,Female,27005,764,3990,7935,12149,12918,5433,7788,12923,14723,12395,13607,1303,807,geog_1,Tall Tehsil,Urban,11,Hangu,Khyber Paktunkhwa
131,tbl_05,Gender_Age_Group_Population,Census2017,Female,0,0,0,0,0,0,0,0,0,0,0,0,0,0,geog_1,Fr Bannu,Urban,33,Fr Bannu,Fata
